ID,NickName,Name,Country
18717.0,lucaozy,Lucas 'Lucaozy' Neves,Brazil
18894.0,t9rnay,Henrique 't9rnay' Menacho,Brazil
19692.0,zevy,Romeu 'zevy' Rocco,Brazil
8574.0,woxic,Özgür 'woxic' Eker,Turkey
150.0,maj3r,Engin 'MAJ3R' Küpeli,Turkey
7938.0,xantares,Ismailcan 'XANTARES' Dörtkardeş,Turkey
8575.0,calyx,Buğra 'Calyx' Arkın,Turkey
21243.0,wicadia,Ali 'Wicadia' Haydar Yalçın,Turkey
13249.0,osee,Josh 'oSee' Ohm,United States
8520.0,naf,Keith 'NAF' Markovic,Canada
13915.0,yekindar,Mareks 'YEKINDAR' Gaļinskis,Latvia
19673.0,patsi,Robert 'Patsi' Isyanov,Russia
17145.0,rainwaker,Aleks 'Rainwaker' Petrov,Bulgaria
11337.0,rcf,Rodrigo 'RCF' Figueiredo,Brazil
14010.0,zmb,Leonardo 'zmb' Toledo,Brazil
16954.0,yepz,Yan 'yepz' Pedretti,Brazil
20171.0,snow,João 'snow' Vinicius,Brazil
22140.0,souz4h,Luiz 'souz4h' de Souza,Brazil
11926.0,mds,Aleksandr 'mds' Rubets,Belarus
19821.0,znxxx,Alexey 'znxxX' Zlotkovskiy,Belarus
18510.0,sugar,Amin 'sugaR' Azimov,Azerbaijan
19962.0,re1gn,Daniil 'Re1GN' Chekanin,Russia
17293.0,porya,Danil 'Porya' Poryadin,Russia
13980.0,lollipop21k,Igor 'lollipop21k' Solodkov,Belarus
19874.0,masval,Svyatoslav 'MaSvAl' Masko,Belarus
22193.0,sad,Aleksandr 'sad' Nizhnik,Belarus
19913.0,ganginho,Ilya 'Ganginho' Chernichenko,Ukraine
22643.0,nifee,Dmitry 'nifee' Tediashvili,Ukraine
20097.0,h4rn,Deyvid 'h4rn' Benchev,Bulgaria
20309.0,bnox,Bartosz 'bnox' Niebisz,Poland
16927.0,sly,Steffen 'SLY' Amundsen,Norway
8324.0,morelz,Piotr 'morelz' Taterka,Poland
2553.0,snax,Janusz 'Snax' Pogorzelski,Poland
12713.0,floppy,Ricky 'floppy' Kemery,United States
12840.0,hallzerk,Håkon 'hallzerk' Fjærli,Norway
11630.0,jt,Johnny 'JT' Theodosiou,South Africa
8738.0,elige,Jonathan 'EliGE' Jablonowski,United States
13578.0,grim,Michael 'Grim' Wince,United States
10096.0,hooxi,Rasmus 'HooXi' Nielsen,Denmark
3741.0,niko,Nikola 'NiKo' Kovač,Bosnia and Herzegovina
3972.0,hunter,Nemanja 'huNter-' Kovač,Bosnia and Herzegovina
19230.0,m0nesy,Ilya 'm0NESY' Osipov,Russia
4679.0,jks,Justin 'jks' Savage,Australia
20282.0,krasnal,Szymon 'kRaSnaL' Mrozek,Poland
16717.0,br0,Alexander 'br0' Bro,Denmark
19733.0,demqq,Sergiy 'DemQQ' Demchenko,Ukraine
12731.0,sdy,Viktor 'sdy' Orudzhev,Ukraine
16885.0,woro2k,Volodymyr 'Woro2k' Veletniuk,Ukraine
9216.0,coldzera,Marcelo 'coldzera' David,Brazil
15698.0,dumau,Eduardo 'dumau' Wolkmer,Brazil
9482.0,nekiz,Gabriel 'NEKIZ' Schenato,Brazil
